Torneio;Inicio;Fim
BRA2003;29/03/2003;14/12/2003
BRA2004;21/04/2004;19/12/2004
BRA2005;11/04/2005;09/12/2005
BRA2006;15/04/2006;03/12/2006
BRA2007;12/05/2007;02/12/2007
BRA2008;09/05/2008;07/12/2008
BRA2009;09/05/2009;06/12/2009
BRA2010;07/05/2010;05/12/2010
BRA2011;20/05/2011;04/12/2011
BRA2012;18/05/2012;09/12/2012
BRA2013;22/05/2013;08/12/2013
BRA2014;19/04/2014;07/12/2014
BRA2015;08/05/2015;06/12/2015
BRA2016;14/05/2016;11/12/2016
BRA2017;13/05/2017;03/12/2017
BRA2018;14/04/2018;02/12/2018
BRA2019;27/04/2019;08/12/2019
BRA2020;08/08/2020;25/02/2021
